key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/vco				
vco_astragoth_labourers	false	-1	-1	
vco_brt_alberic	false	-1	-1	
vco_chs_arch	false	-1	-1	
vco_cst_ara	false	-1	-1	
vco_cst_deck_gunners	false	-1	-1	
vco_cst_rotting	false	-1	-1	
vco_cth_chaos_altar_tze	false	-1	-1	
vco_cth_war_compass	false	-1	-1	
vco_cylostra_zombie_pirates	false	-1	-1	
vco_def_morathi	false	-1	-1	
vco_drazhoath_infernal_guard	false	-1	-1	
vco_grimgor_ironbound_orc_labourers	false	-1	-1	
vco_hef_dragon_knights	false	-1	-1	
vco_hef_dragons	false	-1	-1	
vco_hef_shadows	false	-1	-1	
vco_ksl_tzar_guard	false	-1	-1	
vco_malagor_gors	false	-1	-1	
vco_malagor_harpies	false	-1	-1	
vco_nor_marauder_hunters_spears	false	-1	-1	
vco_nor_melee_marauders	false	-1	-1	
vco_nor_wulfrik	false	-1	-1	
vco_ogr_gorgers	false	-1	-1	
vco_ogr_greasus	false	-1	-1	
vco_repanse_peasants	false	-1	-1	
vco_skv_assassins	false	-1	-1	
vco_skv_ghoritch	false	-1	-1	
vco_sla_nkari	false	-1	-1	
vco_vmp_kem	false	-1	-1	
vco_vmp_man	false	-1	-1	
vco_wintertooth_trolls	false	-1	-1	
vco_zhatan_black_orcs	false	-1	-1	
